timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663586231616,48,GET Request Logout,200,OK,Performance Test 1-3,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586232172,569,POST Request SignIn,200,OK,Performance Test 1-3,text,true,,665,291,2,2,https://qauto2.forstudy.space/api/auth/signin,569,0,0
1663586232267,500,POST Request AddCar Json,201,Created,Performance Test 1-2,text,true,,540,353,2,2,https://qauto2.forstudy.space/api/cars,500,0,0
1663586233080,51,GET Request Mycar,200,OK,Performance Test 1-2,text,true,,1184,264,2,2,https://qauto2.forstudy.space/api/cars,51,0,0
1663586233641,67,PUT Request Changemileage Json,200,OK,Performance Test 1-2,text,true,,536,314,3,3,https://qauto2.forstudy.space/api/cars/66422,67,0,0
1663586233752,56,POST Request AddCar Json,201,Created,Performance Test 1-3,text,true,,540,355,3,3,https://qauto2.forstudy.space/api/cars,56,0,0
1663586234110,57,GET Request Mycar,200,OK,Performance Test 1-3,text,true,,1401,266,3,3,https://qauto2.forstudy.space/api/cars,57,0,0
1663586234213,495,DEL Request Del car Json,200,OK,Performance Test 1-2,text,true,,335,317,3,3,https://qauto2.forstudy.space/api/cars/66422,495,0,0
1663586234066,642,POST Request SignIn,200,OK,Performance Test 1-4,text,true,,661,291,3,3,https://qauto2.forstudy.space/api/auth/signin,642,0,95
1663586234674,55,PUT Request Changemileage Json,200,OK,Performance Test 1-3,text,true,,536,316,3,3,https://qauto2.forstudy.space/api/cars/66423,55,0,0
1663586235019,49,GET Request NOcar,200,OK,Performance Test 1-2,text,true,,1185,264,3,3,https://qauto2.forstudy.space/api/cars,49,0,0
1663586235068,48,GET Request Logout,200,OK,Performance Test 1-2,text,true,,497,271,3,3,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586235239,49,DEL Request Del car Json,200,OK,Performance Test 1-3,text,true,,335,319,2,2,https://qauto2.forstudy.space/api/cars/66423,49,0,0
1663586235600,57,GET Request NOcar,200,OK,Performance Test 1-3,text,true,,969,266,2,2,https://qauto2.forstudy.space/api/cars,57,0,0
1663586235658,49,GET Request Logout,200,OK,Performance Test 1-3,text,true,,497,273,2,2,https://qauto2.forstudy.space/api/auth/logout,49,0,0
1663586235710,60,POST Request AddCar Json,201,Created,Performance Test 1-4,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,60,0,0
1663586236085,60,GET Request Mycar,200,OK,Performance Test 1-4,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,60,0,0
1663586236220,556,POST Request SignIn,200,OK,Performance Test 1-3,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,556,0,0
1663586236647,135,PUT Request Changemileage Json,200,OK,Performance Test 1-4,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66424,135,0,0
1663586237287,54,DEL Request Del car Json,200,OK,Performance Test 1-4,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66424,54,0,0
1663586237642,49,GET Request NOcar,200,OK,Performance Test 1-4,text,true,,969,262,2,2,https://qauto2.forstudy.space/api/cars,49,0,0
1663586237691,50,GET Request Logout,200,OK,Performance Test 1-4,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,49,0,0
1663586237781,55,POST Request AddCar Json,201,Created,Performance Test 1-3,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,55,0,0
1663586238152,50,GET Request Mycar,200,OK,Performance Test 1-3,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,50,0,0
